category_name,source_provider,date,time,text_head,detailed_text,amount
travel,Booking.com,2024-08-08,41-13-11,Fly at Unbeatable Prices!,Expedia - Book your flight now and save ₹57!,57
food_spending,Uber Eats,2024-05-09,41-13-11,Order Now & Get Discounts!,Zomato is offering 20% off on your next order!,2793
home_and_living,Target,2024-03-19,41-13-11,New Arrivals for Your Living Space!,Target has new arrivals! Get the best home essentials!,580
home_and_living,Wayfair,2024-02-28,41-13-11,Upgrade Your Home!,Amazon - Flat ₹3099 off on furniture this week!,3099
beauty_and_apparel,Nike,2024-06-24,41-13-11,Style Upgrade Awaits!,Sephora - Get ₹1503 off on skincare today!,1503
food_spending,Zomato,2024-06-30,41-13-11,Tasty Treats Await!,McDonald's special deal - Get ₹2419 off on combos!,2419
savings_and_investments,Betterment,2024-12-27,41-13-11,Smart Investing Starts Here!,Robinhood - Start investing with zero commission!,2734
education,Coursera,2024-07-13,41-13-11,Enroll Now for Less!,Coursera premium access at ₹3169 for a limited time!,3169
health_and_fitness,Peloton,2024-03-18,41-13-11,"Fitness Goals, Made Easy!",MyFitnessPal - Track your health & fitness effortlessly!,1280
home_and_living,Wayfair,2024-03-21,41-13-11,Limited Time Home Deals!,Target has new arrivals! Get the best home essentials!,843
misc,Newegg,2024-07-19,41-13-11,Hidden Gems Just for You!,Best Buy deals - Save big on electronics!,4797
misc,Newegg,2024-03-05,41-13-11,Hidden Gems Just for You!,eBay - Exclusive gadgets at just ₹2207!,2207
chill_trill,Universal Studios,2024-05-01,41-13-11,Exciting Adventures Await!,Six Flags is offering unlimited rides at ₹4507!,4507
travel,Booking.com,2024-02-20,41-13-11,Your Next Adventure Awaits!,Expedia - Book your flight now and save ₹1062!,1062
travel,Airbnb,2025-01-14,41-13-11,Your Next Adventure Awaits!,MakeMyTrip offers 30% off on hotels this weekend!,2908
misc,Newegg,2024-08-15,41-13-11,Hidden Gems Just for You!,Etsy has unique handmade crafts for ₹3893!,3893
health_and_fitness,Anytime Fitness,2024-07-02,41-13-11,"Stay Fit, Stay Healthy!",Nike Training Club - Personalized workout plans!,1945
food_spending,Zomato,2024-10-23,41-13-11,Tasty Treats Await!,Zomato is offering 20% off on your next order!,902
chill_trill,Escape Room,2024-12-19,41-13-11,Exciting Adventures Await!,Six Flags is offering unlimited rides at ₹4546!,4546
health_and_fitness,Peloton,2024-10-25,41-13-11,"Stay Fit, Stay Healthy!",Nike Training Club - Personalized workout plans!,380
home_and_living,Amazon,2024-10-28,41-13-11,Limited Time Home Deals!,Wayfair flash sale - Upgrade your home decor!,2105
home_and_living,Wayfair,2024-03-25,41-13-11,Limited Time Home Deals!,Wayfair flash sale - Upgrade your home decor!,1249
health_and_fitness,Nike Training Club,2024-08-12,41-13-11,Workout with the Best!,Nike Training Club - Personalized workout plans!,4693
home_and_living,Amazon,2024-06-25,41-13-11,New Arrivals for Your Living Space!,Target has new arrivals! Get the best home essentials!,2105
savings_and_investments,Vanguard,2024-09-29,41-13-11,Smart Investing Starts Here!,Invest ₹3287 today and grow your wealth!,3287
misc,Newegg,2024-05-07,41-13-11,Hidden Gems Just for You!,Best Buy deals - Save big on electronics!,3782
beauty_and_apparel,Sephora,2025-01-15,41-13-11,Beauty Deals Inside!,Zara exclusive sale - Fashion at unbeatable prices!,703
education,Coursera,2024-11-26,41-13-11,Enroll Now for Less!,Coursera premium access at ₹4296 for a limited time!,4296
home_and_living,Wayfair,2024-03-16,41-13-11,Limited Time Home Deals!,Wayfair flash sale - Upgrade your home decor!,703
home_and_living,Amazon,2024-03-26,41-13-11,New Arrivals for Your Living Space!,Wayfair flash sale - Upgrade your home decor!,4655
food_spending,Uber Eats,2025-01-01,41-13-11,Order Now & Get Discounts!,McDonald's special deal - Get ₹2549 off on combos!,2549
travel,Skyscanner,2024-06-02,41-13-11,Exclusive Travel Offers!,MakeMyTrip offers 30% off on hotels this weekend!,906
home_and_living,Wayfair,2024-05-20,41-13-11,Upgrade Your Home!,Amazon - Flat ₹4797 off on furniture this week!,4797
home_and_living,Amazon,2024-12-16,41-13-11,Limited Time Home Deals!,Amazon - Flat ₹63 off on furniture this week!,63
food_spending,Uber Eats,2024-07-23,41-13-11,Order Now & Get Discounts!,Zomato is offering 20% off on your next order!,3508
education,Udemy,2024-10-07,41-13-11,Boost Your Skills!,Coursera premium access at ₹4449 for a limited time!,4449
home_and_living,Amazon,2024-08-15,41-13-11,Upgrade Your Home!,Target has new arrivals! Get the best home essentials!,2803
food_spending,Zomato,2024-06-25,41-13-11,Delicious Deals Just for You!,Your Swiggy order for ₹2800 has been delivered!,2800
